,nparticles,dim,scale,eta,alpha,energy,standard_error,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
0,10,3,2.3579476910000035e-08,0.1,,,,0.0,50000,207000,1000,36000,120000
1,10,3,2.3579476910000035e-08,0.1,,,,0.0,50000,207000,1000,36000,120000
2,10,3,2.3579476910000035e-08,0.1,,,,0.0,50000,207000,1000,36000,120000
3,10,3,2.3579476910000035e-08,0.1,,,,0.0,50000,207000,1000,36000,120000
