0.200000 0.700000 0.841149 6.331770 0.251630
0.200000 0.800000 0.805481 2.436549 0.156095
0.200000 0.900000 0.801309 1.271736 0.112771
0.200000 1.000000 0.669695 0.298908 0.054672
0.200000 1.100000 0.759628 1.182896 0.108761
0.200000 1.200000 0.610992 0.085455 0.029233
0.200000 1.300000 0.667879 0.436149 0.066042
0.300000 0.700000 1.243468 14.070268 0.375104
0.300000 0.800000 0.928319 0.632252 0.079514
0.300000 0.900000 0.919551 0.326216 0.057115
0.300000 1.000000 0.964946 0.676045 0.082222
0.300000 1.100000 0.892376 0.556809 0.074620
0.300000 1.200000 1.054311 1.520483 0.123308
0.300000 1.300000 1.871606 52.884750 0.727219
0.400000 0.700000 1.053095 0.127371 0.035689
0.400000 0.800000 1.133921 0.531657 0.072915
0.400000 0.900000 1.204753 1.080702 0.103957
0.400000 1.000000 1.262721 0.992119 0.099605
0.400000 1.100000 1.805041 41.621737 0.645149
0.400000 1.200000 2.499909 172.949721 1.315103
0.400000 1.300000 1.258677 2.934720 0.171310
0.500000 0.700000 1.586041 3.793200 0.194761
0.500000 0.800000 1.415255 1.610668 0.126912
0.500000 0.900000 1.640241 4.234078 0.205769
0.500000 1.000000 1.476028 1.502728 0.122586
0.500000 1.100000 2.171276 12.796490 0.357722
0.500000 1.200000 1.730910 4.225260 0.205554
0.500000 1.300000 1.275044 0.316719 0.056278
0.600000 0.700000 1.923615 7.541198 0.274612
0.600000 0.800000 2.049079 24.911307 0.499112
0.600000 0.900000 1.636201 1.223900 0.110630
0.600000 1.000000 1.751925 1.308789 0.114402
0.600000 1.100000 2.312360 48.349478 0.695338
0.600000 1.200000 2.227474 22.799564 0.477489
0.600000 1.300000 1.497733 0.703634 0.083883
0.700000 0.700000 1.962291 1.983925 0.140852
0.700000 0.800000 2.081169 3.636748 0.190703
0.700000 0.900000 1.833343 1.155399 0.107489
0.700000 1.000000 2.081864 6.378748 0.252562
0.700000 1.100000 1.843202 1.141556 0.106844
0.700000 1.200000 2.107299 10.630371 0.326042
0.700000 1.300000 2.357454 25.927046 0.509186
0.800000 0.700000 2.752789 34.526149 0.587590
0.800000 0.800000 3.457016 232.525948 1.524880
0.800000 0.900000 2.234483 4.138934 0.203444
0.800000 1.000000 1.868951 0.274185 0.052363
0.800000 1.100000 2.333722 17.878199 0.422826
0.800000 1.200000 2.274723 2.540507 0.159390
0.800000 1.300000 2.041441 1.111539 0.105430
