chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
1,10,3,0.17715610000000007,0.01,0.4982562306659786,24.484732589186784,0.0009590160332821705,0.0055860320572946875,2.4484732589186784,0.0009590160332821705,0.0055860320572946875,0.42990875244140625,262144,359144,5000,11000,81000
2,10,3,0.1948717100000001,0.01,0.49390390469221407,24.47654392979793,0.0020608778492301858,0.01669405557106529,2.447654392979793,0.0020608778492301858,0.01669405557106529,0.38404083251953125,262144,288144,5000,11000,10000
3,10,3,0.1948717100000001,0.01,0.4999360342384138,24.472181756372215,0.000851082926867388,0.004674837471270621,2.4472181756372215,0.000851082926867388,0.004674837471270621,0.3831062316894531,262144,333144,5000,12000,54000
4,10,3,0.25,0.01,0.4979135020588542,24.442006752881696,0.0008375063568234442,0.004344961743413478,2.4442006752881698,0.0008375063568234442,0.004344961743413478,0.2509307861328125,262144,309144,5000,5000,37000
1,10,3,0.1948717100000001,0.01,0.5026797717449095,24.47267969139359,0.0014976312411679321,0.009300227600192557,2.447267969139359,0.0014976312411679321,0.009300227600192557,0.3764228820800781,262144,308144,5000,12000,29000
2,10,3,0.25,0.01,0.4982455724568617,24.44425259937031,0.0007881595990862531,0.004095052752518313,2.444425259937031,0.0007881595990862531,0.004095052752518313,0.25151824951171875,262144,348144,5000,5000,76000
3,10,3,0.1948717100000001,0.01,0.4971480242271918,24.47147769497854,0.0010955057541039313,0.006224810358276045,2.447147769497854,0.0010955057541039313,0.006224810358276045,0.3785896301269531,262144,374144,5000,13000,94000
4,10,3,0.1948717100000001,0.01,0.49982592511612184,24.472330908523535,0.0008775261050704681,0.00457289436803876,2.4472330908523534,0.0008775261050704681,0.00457289436803876,0.3814353942871094,262144,374144,5000,13000,94000
1,10,3,0.25,0.01,0.49802647529766725,24.443021964375923,0.0008262941622837015,0.004042505866209467,2.4443021964375924,0.0008262941622837015,0.004042505866209467,0.25138092041015625,262144,372144,5000,5000,100000
2,10,3,0.1948717100000001,0.01,0.5015752548555229,24.474329367965254,0.0013123786065571362,0.007763128727333424,2.4474329367965253,0.0013123786065571362,0.007763128727333424,0.3802070617675781,262144,319144,5000,11000,41000
3,10,3,0.1948717100000001,0.01,0.5002279213624496,24.472446495437985,0.0009097717209169213,0.006839671346256182,2.4472446495437987,0.0009097717209169213,0.006839671346256182,0.37569427490234375,262144,335144,5000,13000,55000
4,10,3,0.1948717100000001,0.01,0.49808492836085394,24.471943339914418,0.0009470239349497006,0.007757076195844093,2.4471943339914417,0.0009470239349497006,0.007757076195844093,0.3803138732910156,262144,380144,5000,13000,100000
1,10,3,0.1948717100000001,0.01,0.5012336367428252,24.472832146015016,0.0011052619998910952,0.005885160065304262,2.4472832146015016,0.0011052619998910952,0.005885160065304262,0.37866973876953125,262144,349144,5000,11000,71000
2,10,3,0.25,0.01,0.49823772837512265,24.443420219783924,0.0008115592772263445,0.003914406806302395,2.4443420219783922,0.0008115592772263445,0.003914406806302395,0.24986648559570312,262144,367144,5000,5000,95000
3,10,3,0.25,0.01,0.4989866550892268,24.443248380689013,0.0007649987127414922,0.00440652938243602,2.4443248380689013,0.0007649987127414922,0.00440652938243602,0.250518798828125,262144,319144,5000,5000,47000
4,10,3,0.1948717100000001,0.01,0.4979790363852177,24.47279532893402,0.0009804494534410813,0.006037942050284073,2.447279532893402,0.0009804494534410813,0.006037942050284073,0.3819427490234375,262144,361144,5000,13000,81000
