chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
1,1,3,1.771561000000001,0.01,0.1,3.906039001869619,0.08047598508185036,9.48780839616599,3.906039001869619,0.08047598508185036,9.48780839616599,0.41885,20000,80000,80000,20000,0
2,1,3,1.771561000000001,0.01,0.1,3.794924152293091,0.0731238310192872,9.250316537806636,3.794924152293091,0.0731238310192872,9.250316537806636,0.41625,20000,82000,82000,22000,0
3,1,3,1.6105100000000008,0.01,0.1,3.954713035015208,0.07804206675892468,9.714956008602096,3.954713035015208,0.07804206675892468,9.714956008602096,0.4578,20000,76000,76000,16000,0
4,1,3,1.771561000000001,0.01,0.1,3.9495982476303855,0.07520127716010026,9.18656922581054,3.9495982476303855,0.07520127716010026,9.18656922581054,0.4158,20000,78000,78000,18000,0
5,1,3,1.771561000000001,0.01,0.1,3.9960865648485706,0.08107782978542442,10.610477225809232,3.9960865648485706,0.08107782978542442,10.610477225809232,0.42145,20000,78000,78000,18000,0
6,1,3,1.771561000000001,0.01,0.1,3.9203224004862394,0.0908157511445225,10.085603318420912,3.9203224004862394,0.0908157511445225,10.085603318420912,0.42115,20000,78000,78000,18000,0
7,1,3,1.771561000000001,0.01,0.1,3.9545781199647427,0.08374379960168996,10.696220178721179,3.9545781199647427,0.08374379960168996,10.696220178721179,0.422,20000,78000,78000,18000,0
8,1,3,1.771561000000001,0.01,0.1,3.9835110349940326,0.08514121690080333,10.360639492489382,3.9835110349940326,0.08514121690080333,10.360639492489382,0.42375,20000,78000,78000,18000,0
9,1,3,1.771561000000001,0.01,0.1,4.047483649058931,0.07097845825643728,10.082722019679217,4.047483649058931,0.07097845825643728,10.082722019679217,0.42725,20000,78000,78000,18000,0
10,1,3,1.771561000000001,0.01,0.1,3.8699405671565597,0.0756874878266054,9.866717686055152,3.8699405671565597,0.0756874878266054,9.866717686055152,0.41845,20000,78000,78000,18000,0
11,1,3,1.771561000000001,0.01,0.1,3.8808926634153424,0.07030014817627729,9.440703385299065,3.8808926634153424,0.07030014817627729,9.440703385299065,0.4185,20000,78000,78000,18000,0
12,1,3,1.771561000000001,0.01,0.1,3.855981031810124,0.07149777526767453,9.347818184388672,3.855981031810124,0.07149777526767453,9.347818184388672,0.4318,20000,80000,80000,20000,0
13,1,3,1.771561000000001,0.01,0.1,3.8209743030064374,0.0774748384663121,9.490389671670883,3.8209743030064374,0.0774748384663121,9.490389671670883,0.4152,20000,78000,78000,18000,0
14,1,3,1.9487171000000014,0.01,0.1,3.927914279178064,0.07669907528908618,9.071224866408444,3.927914279178064,0.07669907528908618,9.071224866408444,0.3854,20000,82000,82000,22000,0
15,1,3,1.771561000000001,0.01,0.1,3.8790008877171416,0.07509159548923373,9.374893154204843,3.8790008877171416,0.07509159548923373,9.374893154204843,0.41925,20000,78000,78000,18000,0
16,1,3,1.771561000000001,0.01,0.1,3.8176911982374078,0.0754208914427689,8.552228760657597,3.8176911982374078,0.0754208914427689,8.552228760657597,0.4147,20000,78000,78000,18000,0
1,1,3,1.2100000000000002,0.01,0.2,2.150816155780566,0.03144747153623107,1.7013693882388035,2.150816155780566,0.03144747153623107,1.7013693882388035,0.4226,20000,70000,70000,10000,0
2,1,3,1.2100000000000002,0.01,0.2,2.1672079129334483,0.032370593378705285,1.6961635021019967,2.1672079129334483,0.032370593378705285,1.6961635021019967,0.43225,20000,70000,70000,10000,0
3,1,3,1.3310000000000004,0.01,0.2,2.19372741564067,0.03459174524496019,1.831680630634394,2.19372741564067,0.03459174524496019,1.831680630634394,0.3949,20000,74000,74000,14000,0
4,1,3,1.3310000000000004,0.01,0.2,2.2152505137166765,0.035221747932388435,2.004738662109607,2.2152505137166765,0.035221747932388435,2.004738662109607,0.39665,20000,74000,74000,14000,0
5,1,3,1.2100000000000002,0.01,0.2,2.1512686446181606,0.03184998237515047,1.899125350661068,2.1512686446181606,0.03184998237515047,1.899125350661068,0.42715,20000,70000,70000,10000,0
6,1,3,1.2100000000000002,0.01,0.2,2.144751922398829,0.03533335980089671,1.801266288017155,2.144751922398829,0.03533335980089671,1.801266288017155,0.42985,20000,70000,70000,10000,0
7,1,3,1.3310000000000004,0.01,0.2,2.170839085232973,0.03424695764195274,1.7028907289257917,2.170839085232973,0.03424695764195274,1.7028907289257917,0.3931,20000,72000,72000,12000,0
