chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
1,10,3,0.1948717100000001,0.01,0.5007821529931119,24.142411697729347,0.00030367285529109034,0.00024656528012201306,2.414241169772935,0.00030367285529109034,0.00024656528012201306,0.3744544982910156,262144,375144,5000,11000,97000
2,10,3,0.1948717100000001,0.01,0.5025145016028564,24.14420011768315,0.000851848524126589,0.0023199894700383084,2.414420011768315,0.000851848524126589,0.0023199894700383084,0.3759346008300781,262144,352144,5000,11000,74000
3,10,3,0.1948717100000001,0.01,0.5001120532641381,24.142164088443973,4.33329596488163e-05,4.908721507490554e-06,2.414216408844397,4.33329596488163e-05,4.908721507490554e-06,0.3790435791015625,262144,378144,5000,11000,100000
4,10,3,0.1948717100000001,0.01,0.5040940087783113,24.14520535513835,0.0015088893463483446,0.006095083985314886,2.414520535513835,0.0015088893463483446,0.006095083985314886,0.3751487731933594,262144,345144,5000,11000,67000
1,10,3,0.1948717100000001,0.01,0.50051432063951,24.142173949322704,0.00020370598005327922,0.00010578699220786802,2.4142173949322703,0.00020370598005327922,0.00010578699220786802,0.3729705810546875,262144,376144,5000,12000,97000
2,10,3,0.23579476910000013,0.01,0.4990889717904789,24.141998549408573,0.0002984429190359632,0.0002519127400546495,2.414199854940857,0.0002984429190359632,0.0002519127400546495,0.2760772705078125,262144,376144,5000,15000,94000
3,10,3,0.1948717100000001,0.01,0.49859328514258594,24.14175235397643,0.0005187328883300892,0.0007515300598015529,2.414175235397643,0.0005187328883300892,0.0007515300598015529,0.3784027099609375,262144,365144,5000,12000,86000
4,10,3,0.1948717100000001,0.01,0.49977471490135933,24.14208852774898,8.297651599051373e-05,1.8972743873746367e-05,2.414208852774898,8.297651599051373e-05,1.8972743873746367e-05,0.37650299072265625,262144,378144,5000,11000,100000
1,10,3,0.2143588810000001,0.01,0.5024923871938812,24.143292555916574,0.0008674549049692044,0.0020796494237629304,2.4143292555916576,0.0008674549049692044,0.0020796494237629304,0.3250923156738281,262144,350144,5000,12000,71000
2,10,3,0.2143588810000001,0.01,0.501216025925289,24.142864267572676,0.0004027168713559424,0.000470740771106648,2.4142864267572675,0.0004027168713559424,0.000470740771106648,0.3252983093261719,262144,377144,5000,12000,98000
3,10,3,0.2143588810000001,0.01,0.5009049913719751,24.142829808956833,0.0002772932473265298,0.0002587456849596492,2.4142829808956834,0.0002772932473265298,0.0002587456849596492,0.3269004821777344,262144,369144,5000,13000,89000
4,10,3,0.2143588810000001,0.01,0.4987337030302127,24.141251554436778,0.0004273759443430077,0.0005013884614299968,2.414125155443678,0.0004273759443430077,0.0005013884614299968,0.3240852355957031,262144,363144,5000,12000,84000
1,10,3,0.2143588810000001,0.01,0.5000672181850747,24.14218288725515,2.267541989954231e-05,1.4625388757849578e-06,2.414218288725515,2.267541989954231e-05,1.4625388757849578e-06,0.3218040466308594,262144,381144,5000,14000,100000
2,10,3,0.2143588810000001,0.01,0.4989920650377659,24.14201359506093,0.00034943364072921156,0.0003300191228845506,2.414201359506093,0.00034943364072921156,0.0003300191228845506,0.3264312744140625,262144,373144,5000,12000,94000
3,10,3,0.2143588810000001,0.01,0.5308499745881199,24.18659448736405,0.01005264681468626,0.2826516348941368,2.4186594487364053,0.01005264681468626,0.2826516348941368,0.3094139099121094,262144,303144,5000,13000,23000
4,10,3,0.2143588810000001,0.01,0.4986689790039582,24.142217817245466,0.0004373076561847659,0.0005780239988553149,2.414221781724547,0.0004373076561847659,0.0005780239988553149,0.32781219482421875,262144,363144,5000,12000,84000
