chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
1,10,3,0.3138428376721002,0.01,0.5020642027756977,15.000794256097347,0.0007822118659110492,0.0004191677778635494,1.5000794256097347,0.0007822118659110492,0.0004191677778635494,0.25457763671875,65536,120536,9500,45500,0
2,10,3,0.25937424601000014,0.01,0.4990769831030559,14.999673571858962,0.000375539529885694,0.00011607205033214996,1.4999673571858962,0.000375539529885694,0.00011607205033214996,0.3668975830078125,65536,119536,7500,46500,0
3,10,3,0.23579476910000013,0.01,0.499598640612124,14.99982007853626,0.00019168207042656,2.7157262564969642e-05,1.499982007853626,0.00019168207042656,2.7157262564969642e-05,0.413177490234375,65536,115536,6500,43500,0
4,10,3,0.25937424601000014,0.01,0.49851173098158535,14.99958774750204,0.0007045346021662017,0.00032624398119196485,1.4999587747502041,0.0007045346021662017,0.00032624398119196485,0.3557281494140625,65536,113536,9000,39000,0
5,10,3,0.25937424601000014,0.01,0.4976340538600131,14.997526906686787,0.0009430828448749086,0.0007085666915713773,1.4997526906686787,0.0009430828448749086,0.0007085666915713773,0.3603363037109375,65536,115536,7000,43000,0
6,10,3,0.28531167061100016,0.01,0.500290433504918,15.000038223148792,0.00011884944128164168,1.0353195250445424e-05,1.5000038223148793,0.00011884944128164168,1.0353195250445424e-05,0.3047332763671875,65536,123036,7500,50000,0
7,10,3,0.25937424601000014,0.01,0.523483377261634,15.036194212299536,0.009603065693785955,0.06723567703096478,1.5036194212299536,0.009603065693785955,0.06723567703096478,0.3381805419921875,65536,85036,7500,12000,0
8,10,3,0.25937424601000014,0.01,0.5282720079245049,15.02510099537023,0.011650283891031914,0.10639413962624644,1.502510099537023,0.011650283891031914,0.10639413962624644,0.339447021484375,65536,85036,7500,12000,0
9,10,3,0.28531167061100016,0.01,0.5036686953636885,15.002110850300806,0.0016609524449562251,0.0015895093745825761,1.5002110850300805,0.0016609524449562251,0.0015895093745825761,0.30548095703125,65536,109036,8000,35500,0
10,10,3,0.28531167061100016,0.01,0.49880023889776387,14.999285199173787,0.0004695596747010449,0.00016108781110801829,1.4999285199173786,0.0004695596747010449,0.00016108781110801829,0.30279541015625,65536,120036,7500,47000,0
11,10,3,0.25937424601000014,0.01,0.5036290399865895,14.996898068222489,0.001800297165051051,0.0021662685992112074,1.4996898068222488,0.001800297165051051,0.0021662685992112074,0.3437652587890625,65536,106536,7500,33500,0
12,10,3,0.23579476910000013,0.01,0.5015814624655137,14.999582063809338,0.0007999260699466487,0.00044816323079999165,1.4999582063809338,0.0007999260699466487,0.00044816323079999165,0.3998565673828125,65536,110036,6500,38000,0
13,10,3,0.25937424601000014,0.01,0.4999215141112868,14.99995980924474,3.263477911402688e-05,8.423317012784537e-07,1.4999959809244738,3.263477911402688e-05,8.423317012784537e-07,0.359039306640625,65536,123036,7500,50000,0
14,10,3,0.25937424601000014,0.01,0.502798853226188,14.99800045507135,0.00128475825200693,0.001183127276135565,1.499800045507135,0.00128475825200693,0.001183127276135565,0.3553314208984375,65536,106036,7500,33000,0
15,10,3,0.25937424601000014,0.01,0.500254861527393,15.000136127552436,0.00012141507164007902,9.661036386887645e-06,1.5000136127552435,0.00012141507164007902,9.661036386887645e-06,0.3623809814453125,65536,123536,8000,50000,0
16,10,3,0.28531167061100016,0.01,0.4917888530763461,14.99446070864441,0.0027769216478201147,0.007137308201919268,1.499446070864441,0.0027769216478201147,0.007137308201919268,0.31256103515625,65536,100036,9000,25500,0
1,50,3,0.12100000000000002,0.01,0.49956176113188205,74.99930267560649,0.002081959545373654,0.0005457475790535682,1.4999860535121297,0.002081959545373654,0.0005457475790535682,0.3303375244140625,65536,115036,3500,46000,0
2,50,3,0.13310000000000002,0.01,0.5018534947595175,75.00470509939989,0.004489722811507834,0.0044362159933371,1.5000941019879976,0.004489722811507834,0.0044362159933371,0.2756500244140625,65536,115036,5500,44000,0
3,50,3,0.11979000000000002,0.01,0.4959618101942156,75.02893333119346,0.01604528580512939,0.04552015498302353,1.5005786666238692,0.01604528580512939,0.04552015498302353,0.3214874267578125,65536,98536,5000,28000,0
4,50,3,0.11000000000000001,0.01,0.5222089882386373,74.9691020600499,0.12184952335609002,1.7464771031163764,1.4993820412009982,0.12184952335609002,1.7464771031163764,0.35906982421875,65536,82036,2500,14000,0
5,50,3,0.13310000000000002,0.01,0.5008856807120724,75.00154949995881,0.002917584861251971,0.00113934215005429,1.5000309899991762,0.002917584861251971,0.00113934215005429,0.270904541015625,65536,114536,3500,45500,0
6,50,3,0.13310000000000002,0.01,0.5134234235468699,75.10297126773943,0.02736491999441542,0.17193504892384226,1.5020594253547888,0.02736491999441542,0.17193504892384226,0.2684783935546875,65536,89036,4000,19500,0
7,50,3,0.12100000000000002,0.01,0.50036459826262,74.99554941832525,0.0024909809404018764,0.00059420749948913,1.4999109883665052,0.0024909809404018764,0.00059420749948913,0.3233184814453125,65536,118536,3000,50000,0
8,50,3,0.12100000000000002,0.01,0.4985828686009155,75.00354496011376,0.005692210585437963,0.004687125955570082,1.500070899202275,0.005692210585437963,0.004687125955570082,0.3299407958984375,65536,117036,4000,47500,0
9,50,3,0.13176900000000005,0.01,0.5012898731885426,75.0016554260595,0.003880906417953354,0.0030028416176719475,1.50003310852119,0.003880906417953354,0.0030028416176719475,0.28143310546875,65536,118536,6500,46500,0
