chain_id,nparticles,dim,dt,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles,scale
1,10,3,0.14640999999999998,0.01,0.49702027300364693,24.471655779254135,0.0012919998724942375,0.005221629956849938,2.4471655779254133,0.0012919998724942375,0.005221629956849938,0.791595458984375,32768,87768,5000,50000,0,
2,10,3,0.17715609999999998,0.01,0.4973800020718377,24.455421758280217,0.0011473115879615536,0.00436126923852953,2.4455421758280216,0.0011473115879615536,0.00436126923852953,0.7318115234375,32768,69768,6000,31000,0,
3,10,3,0.17715609999999998,0.01,0.49895480847214463,24.44878092746879,0.0016636704152116959,0.009712600315538111,2.4448780927468787,0.0016636704152116959,0.009712600315538111,0.728668212890625,32768,89768,7000,50000,0,
4,10,3,0.17715609999999998,0.01,0.49698050170866487,24.454917053075235,0.0011134816130109024,0.004466218877837491,2.4454917053075236,0.0011134816130109024,0.004466218877837491,0.72808837890625,32768,89768,7000,50000,0,
1,10,3,0.17715609999999998,0.01,0.4985493967697141,24.450143235219066,0.0012165118655521191,0.004087712641080543,2.4450143235219066,0.0012165118655521191,0.004087712641080543,0.7247314453125,32768,88768,6000,50000,0,
2,10,3,0.17715609999999998,0.01,0.4994362223737702,24.446526021665797,0.0014183286906541892,0.004525705600485708,2.4446526021665798,0.0014183286906541892,0.004525705600485708,0.728485107421875,32768,89768,7000,50000,0,
3,10,3,0.17715609999999998,0.01,0.49785906589467255,24.453425715468583,0.0011329817488990907,0.0040174073200205385,2.4453425715468584,0.0011329817488990907,0.0040174073200205385,0.723968505859375,32768,90768,8000,50000,0,
4,10,3,0.14640999999999998,0.01,0.49800101618778236,24.468386483169972,0.0013580901930720832,0.005029126503018233,2.446838648316997,0.0013580901930720832,0.005029126503018233,0.78582763671875,32768,87768,5000,50000,0,
1,10,3,0.14640999999999998,0.01,0.497073491491008,24.473561756029895,0.0013218526255290132,0.005657736535795266,2.4473561756029896,0.0013218526255290132,0.005657736535795266,0.7904052734375,32768,87768,5000,50000,0,
2,10,3,0.17715609999999998,0.01,0.4991542285175137,24.446882742704474,0.0012629051831536187,0.004199550134785568,2.4446882742704474,0.0012629051831536187,0.004199550134785568,0.72021484375,32768,88768,6000,50000,0,
3,10,3,0.14640999999999998,0.01,0.4977015422866137,24.471883308009215,0.0012022515469824445,0.004902357196328921,2.4471883308009215,0.0012022515469824445,0.004902357196328921,0.790771484375,32768,87768,5000,50000,0,
4,10,3,0.14640999999999998,0.01,0.4990070890028307,24.46508466351917,0.001378415312373192,0.004972409120568955,2.446508466351917,0.001378415312373192,0.004972409120568955,0.784454345703125,32768,87768,5000,50000,0,
1,10,3,0.17715609999999998,0.01,0.4986637840894655,24.44788116699013,0.0010755930657912682,0.0037971901139144393,2.444788116699013,0.0010755930657912682,0.0037971901139144393,0.72467041015625,32768,88768,6000,50000,0,
2,10,3,0.14640999999999998,0.01,0.4979609556093879,24.467782573305545,0.0011048897722208749,0.004501213416574501,2.4467782573305543,0.0011048897722208749,0.004501213416574501,0.79534912109375,32768,87768,5000,50000,0,
3,10,3,0.17715609999999998,0.01,0.497145663863111,24.458172607344046,0.001175964027487925,0.004561415000921443,2.4458172607344046,0.001175964027487925,0.004561415000921443,0.724700927734375,32768,88768,6000,50000,0,
4,10,3,0.14640999999999998,0.01,0.49734111991266655,24.470677432722987,0.0013611660719267582,0.005105282673071088,2.4470677432722985,0.0013611660719267582,0.005105282673071088,0.789276123046875,32768,87768,5000,50000,0,
1,50,3,0.1,0.01,0.4898808307627777,128.11919679812127,0.018633280847086875,0.3515870061419264,2.5623839359624254,0.018633280847086875,0.3515870061419264,0.646209716796875,32768,84768,3000,49000,0,
2,50,3,0.1,0.01,0.4950254212389934,128.00152437159085,0.021123410665609296,0.35427169626927935,2.560030487431817,0.021123410665609296,0.35427169626927935,0.630126953125,32768,85768,3000,50000,0,
3,50,3,0.1,0.01,0.4929328262331063,128.05446261216724,0.01873887852566144,0.3197476215500501,2.561089252243345,0.01873887852566144,0.3197476215500501,0.643341064453125,32768,82768,3000,47000,0,
4,50,3,0.1,0.01,0.49111687054656505,128.06275216404498,0.018644031897551205,0.34097577184729744,2.5612550432809,0.018644031897551205,0.34097577184729744,0.6357421875,32768,85768,3000,50000,0,
1,50,3,0.1,0.01,0.4952129498125603,128.02990733827835,0.021012546055327593,0.345554329251172,2.560598146765567,0.021012546055327593,0.345554329251172,0.63427734375,32768,85768,3000,50000,0,
2,50,3,0.1,0.01,0.49167675606054634,128.0689006773663,0.01782519799992088,0.3117259582868428,2.561378013547326,0.01782519799992088,0.3117259582868428,0.632537841796875,32768,85768,3000,50000,0,
3,50,3,0.1,0.01,0.4924201001796313,128.04629679399136,0.017535328054189083,0.3259541387669742,2.560925935879827,0.017535328054189083,0.3259541387669742,0.6304931640625,32768,85768,3000,50000,0,
4,50,3,0.1,0.01,0.4882949427342659,128.08601145255344,0.020934398721531758,0.3950609494750097,2.5617202290510686,0.020934398721531758,0.3950609494750097,0.63946533203125,32768,57768,3000,22000,0,
1,50,3,0.1,0.01,0.49557732652021813,128.0850728749857,0.025514506111698632,0.3531257066861144,2.5617014574997143,0.025514506111698632,0.3531257066861144,0.63677978515625,32768,43768,3000,8000,0,
2,50,3,0.1,0.01,0.49176039895632884,128.07694098839565,0.018634672635960723,0.3348637840608717,2.5615388197679128,0.018634672635960723,0.3348637840608717,0.640625,32768,85768,3000,50000,0,
