chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
1,50,3,0.04510687500000001,0.01,0.3520673642908624,-684.5588978484409,411.214212785018,156512265.18994385,-13.691177956968819,411.214212785018,156512265.18994385,0.31707763671875,16384,75884,5000,6500,48000
2,50,3,0.03145558962557139,0.01,0.8259292099694379,-34203.78847208857,16617.86530794943,100783701977.31473,-684.0757694417714,16617.86530794943,100783701977.31473,0.078125,16384,82884,5000,11500,50000
3,50,3,0.017475327569761882,0.01,0.5355609756256058,207.46320657444278,34.84719908512647,6457021.295872041,4.149264131488856,34.84719908512647,6457021.295872041,0.7493896484375,16384,83384,5000,12000,50000
4,50,3,0.03653656875000001,0.01,0.662220382115224,-46815.18777147713,35746.44863048117,808584611656.9362,-936.3037554295427,35746.44863048117,808584611656.9362,0.07196044921875,16384,79884,5000,8500,50000
