chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
1,1,3,1.0,0.01,0.9551004537351327,3.2551483544392776,0.00474916907067197,0.10149289006134765,3.2551483544392776,0.00474916907067197,0.10149289006134765,0.1902923583984375,65536,117036,1500,50000,0
2,1,3,1.0,0.01,0.9871072770058522,3.3425162496027867,0.005258041048923971,0.10078762479695769,3.3425162496027867,0.005258041048923971,0.10078762479695769,0.1865386962890625,65536,117036,1500,50000,0
3,1,3,1.0,0.01,1.0348991391811968,3.4712814739874824,0.004455831617138583,0.09009526942157109,3.4712814739874824,0.004455831617138583,0.09009526942157109,0.181732177734375,65536,117036,1500,50000,0
4,1,3,1.0,0.01,1.0310653585727392,3.446323166773086,0.004537837367949253,0.08452017557570457,3.446323166773086,0.004537837367949253,0.08452017557570457,0.1785125732421875,65536,117036,1500,50000,0
5,1,3,1.0,0.01,1.0476753686885896,3.4924075664208836,0.005086055045999348,0.08262140521919648,3.4924075664208836,0.005086055045999348,0.08262140521919648,0.1739959716796875,65536,117036,1500,50000,0
6,1,3,1.0,0.01,1.0414901770146845,3.4782213902756123,0.004483213209702366,0.08360676400794098,3.4782213902756123,0.004483213209702366,0.08360676400794098,0.1775665283203125,65536,117036,1500,50000,0
7,1,3,1.0,0.01,1.0195260170963691,3.4168852239056244,0.0047876276779467986,0.09551714726666916,3.4168852239056244,0.0047876276779467986,0.09551714726666916,0.178314208984375,65536,117036,1500,50000,0
8,1,3,1.0,0.01,0.9694408794504229,3.2839372938911326,0.004727512635607279,0.09695837990403788,3.2839372938911326,0.004727512635607279,0.09695837990403788,0.186004638671875,65536,117036,1500,50000,0
9,1,3,1.0,0.01,1.0471451839835382,3.4897038691578026,0.0045999033854675605,0.08068622412282345,3.4897038691578026,0.0045999033854675605,0.08068622412282345,0.1747589111328125,65536,117036,1500,50000,0
10,1,3,1.0,0.01,0.992615954827569,3.35005549599711,0.004853878845398884,0.09899647464881056,3.35005549599711,0.004853878845398884,0.09899647464881056,0.1815338134765625,65536,117036,1500,50000,0
11,1,3,1.0,0.01,0.9940513991499181,3.3577117084031554,0.004695854498211825,0.09594224970098253,3.3577117084031554,0.004695854498211825,0.09594224970098253,0.182586669921875,65536,117036,1500,50000,0
12,1,3,1.0,0.01,1.0488996130818076,3.4954117850548903,0.004311764820381523,0.08349138935034439,3.4954117850548903,0.004311764820381523,0.08349138935034439,0.17730712890625,65536,117036,1500,50000,0
13,1,3,1.0,0.01,1.0052168609756504,3.3831617106307723,0.004491226591362389,0.09166965692467066,3.3831617106307723,0.004491226591362389,0.09166965692467066,0.1837921142578125,65536,117036,1500,50000,0
14,1,3,1.0,0.01,0.9637592752862117,3.2799449490888017,0.005031314189812501,0.10324608692304338,3.2799449490888017,0.005031314189812501,0.10324608692304338,0.1898345947265625,65536,117036,1500,50000,0
15,1,3,1.0,0.01,0.9857002557957852,3.3297052445818496,0.005094746350920851,0.09807068913303141,3.3297052445818496,0.005094746350920851,0.09807068913303141,0.18353271484375,65536,117036,1500,50000,0
16,1,3,1.0,0.01,1.005565657650542,3.3820703238017082,0.0044368304604197484,0.08718475975862106,3.3820703238017082,0.0044368304604197484,0.08718475975862106,0.1837158203125,65536,117036,1500,50000,0
1,10,3,0.3138428376721002,0.01,0.4920300332308577,15.183555111209834,0.0029778097658317154,0.006065801130176851,1.5183555111209834,0.0029778097658317154,0.006065801130176851,0.25860595703125,65536,103536,9000,29000,0
