chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
1,100,3,0.10673289000000004,0.01,0.5029216218887115,149.93939230466236,0.029787188501589148,0.015961530654749367,1.4993939230466236,0.029787188501589148,0.015961530654749367,0.19677734375,4096,64096,10000,50000,0
2,100,3,0.08820900000000004,0.01,0.49969726046904056,149.9821341013229,0.0021762576495602324,0.0001623071584617719,1.499821341013229,0.0021762576495602324,0.0001623071584617719,0.318115234375,4096,64096,10000,50000,0
3,100,3,0.043226820450000016,0.01,0.5000317044321382,150.00035824087138,0.0011383377246161471,2.26046540774405e-05,1.5000035824087137,0.0011383377246161471,2.26046540774405e-05,0.657470703125,4096,64096,10000,50000,0
4,100,3,0.09509900499000006,0.01,0.49898924131015804,150.02052434379874,0.022192717989405194,0.008453272184851812,1.5002052434379873,0.022192717989405194,0.008453272184851812,0.23828125,4096,64096,10000,50000,0
5,100,3,0.09509900499000006,0.01,0.5017674435895552,149.9519152548392,0.01744410493519865,0.005452705067000352,1.499519152548392,0.01744410493519865,0.005452705067000352,0.252197265625,4096,64096,10000,50000,0
6,100,3,0.09702990000000003,0.01,0.5001664949846615,149.99594143826914,0.0016563153258320575,4.9568556278245524e-05,1.4999594143826913,0.0016563153258320575,4.9568556278245524e-05,0.224609375,4096,64096,10000,50000,0
7,100,3,0.06457339845000004,0.01,0.4993305008573069,150.03147050029148,0.02582934747450767,0.011259480099397479,1.5003147050029149,0.02582934747450767,0.011259480099397479,0.48291015625,4096,64096,10000,50000,0
8,100,3,0.10673289000000005,0.01,0.5007064837410438,149.9892560519346,0.0071192305074648955,0.0009367461898364127,1.499892560519346,0.0071192305074648955,0.0009367461898364127,0.169921875,4096,64096,10000,50000,0
9,100,3,0.08558910449100006,0.01,0.5022591663241129,149.9514827415597,0.06473586389522173,0.07001994233360165,1.499514827415597,0.06473586389522173,0.07001994233360165,0.29833984375,4096,64096,10000,50000,0
10,100,3,0.09605960100000005,0.01,0.49806704458028656,150.34428901239195,0.03739445144504919,0.024755264250416076,1.5034428901239196,0.03739445144504919,0.024755264250416076,0.126708984375,4096,64096,10000,50000,0
11,100,3,0.09900000000000002,0.01,0.4993641316778768,149.9716147861021,0.005640331173998927,0.0006043471075827256,1.499716147861021,0.005640331173998927,0.0006043471075827256,0.26025390625,4096,64096,10000,50000,0
12,100,3,0.09605960100000005,0.01,0.5020318075756957,149.92062234674964,0.04799305001030345,0.03918027622421505,1.4992062234674963,0.04799305001030345,0.03918027622421505,0.251708984375,4096,64096,10000,50000,0
13,100,3,0.07813381212450007,0.01,0.5002701047359249,149.9972144285028,0.005588237872685495,0.0005507051209860947,1.4999721442850278,0.005588237872685495,0.0005507051209860947,0.33349609375,4096,64096,10000,50000,0
14,100,3,0.07892304255000007,0.01,0.4997709133253837,149.99832480921907,0.004464819903917811,0.00036320293293101713,1.4999832480921906,0.004464819903917811,0.00036320293293101713,0.386962890625,4096,64096,10000,50000,0
15,100,3,0.04754950249500003,0.01,0.499340194347979,150.02104196074995,0.021803202840918037,0.008800959520158358,1.5002104196074995,0.021803202840918037,0.008800959520158358,0.560791015625,4096,64096,10000,50000,0
16,100,3,0.07938810000000003,0.01,0.5000307318624482,150.00229864476938,0.0002955316867434987,2.9760412871837616e-06,1.5000229864476937,0.0002955316867434987,2.9760412871837616e-06,0.42626953125,4096,64096,10000,50000,0
1,100,3,0.10781100000000005,0.01,0.5011206410886667,149.9890434169693,0.019448632110042944,0.006378218848112738,1.499890434169693,0.019448632110042944,0.006378218848112738,0.1715087890625,8192,68192,10000,50000,0
2,100,3,0.09702990000000003,0.01,0.4989560344475441,149.99105228656964,0.008089672006309206,0.0024077177185972687,1.4999105228656964,0.008089672006309206,0.0024077177185972687,0.2657470703125,8192,68192,10000,50000,0
3,100,3,0.09605960100000005,0.01,0.5010205347959579,150.04080355992124,0.006421286176315132,0.0015222364709188696,1.5004080355992124,0.006421286176315132,0.0015222364709188696,0.28955078125,8192,68192,10000,50000,0
4,100,3,0.09702990000000004,0.01,0.4999674729364179,150.0000866277192,0.0003285574645400636,3.7550526030827314e-06,1.5000008662771922,0.0003285574645400636,3.7550526030827314e-06,0.2584228515625,8192,68192,10000,50000,0
5,100,3,0.08732691000000004,0.01,0.49981270519050863,149.99265428299378,0.0017900070976369685,0.00011997507681371644,1.4999265428299378,0.0017900070976369685,0.00011997507681371644,0.2958984375,8192,68192,10000,50000,0
6,100,3,0.08769226950000006,0.01,0.4998309377396731,150.0044378603627,0.004054526050601306,0.00029244984398246743,1.500044378603627,0.004054526050601306,0.00029244984398246743,0.29150390625,8192,68192,10000,50000,0
7,100,3,0.09605960100000005,0.01,0.5003246569225148,149.99901769834975,0.003814667436312165,0.0005188968898437452,1.4999901769834976,0.003814667436312165,0.0005188968898437452,0.2628173828125,8192,68192,10000,50000,0
8,100,3,0.09801000000000003,0.01,0.49948651499116975,149.9927248564229,0.005115339750256025,0.0009011945512611419,1.4999272485642292,0.005115339750256025,0.0009011945512611419,0.268310546875,8192,68192,10000,50000,0
9,100,3,0.08820900000000004,0.01,0.49888878132134057,150.00731525506325,0.014927349762341703,0.007776639082294423,1.5000731525506326,0.014927349762341703,0.007776639082294423,0.33544921875,8192,68192,10000,50000,0
10,100,3,0.09605960100000004,0.01,0.4998013184316739,149.99795697358076,0.0023267726077699814,0.0001044505916070193,1.4999795697358076,0.0023267726077699814,0.0001044505916070193,0.299072265625,8192,68192,10000,50000,0
11,100,3,0.09454191267064509,0.01,0.5020307263546726,150.02351438108656,0.013651195543037,0.007150694535084767,1.5002351438108656,0.013651195543037,0.007150694535084767,0.28271484375,8192,68192,10000,50000,0
12,100,3,0.08681534680500007,0.01,0.4988289167373322,149.97833188481448,0.014791154821075708,0.007592892914544791,1.4997833188481449,0.014791154821075708,0.007592892914544791,0.32568359375,8192,68192,10000,50000,0
