chain_id,nparticles,dim,dt,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
1,100,3,0.49248663379038043,0.01,0.4986870472855294,150.07888339901737,0.006064319048813537,0.0015650079731130973,1.5007888339901738,0.006064319048813537,0.0015650079731130973,0.331787109375,4096,64096,10000,50000,0
2,100,3,0.40701374693419873,0.01,0.49948295878106314,150.02275639959163,0.0034754434275701598,0.0004752206150442362,1.5002275639959164,0.0034754434275701598,0.0004752206150442362,0.47705078125,4096,64096,10000,50000,0
3,100,3,0.36631237224077884,0.01,0.5002894866560473,149.99741972126736,0.003495974204729101,0.0002464597964717541,1.4999741972126737,0.003495974204729101,0.0002464597964717541,0.410400390625,4096,64096,10000,50000,0
4,100,3,0.40701374693419873,0.01,0.5001199955410307,149.99596586153308,0.0006112308441966153,1.676327156019397e-05,1.4999596586153308,0.0006112308441966153,1.676327156019397e-05,0.368408203125,4096,64096,10000,50000,0
5,100,3,0.40701374693419873,0.01,0.4988310922641487,150.0436198701217,0.00781549310447794,0.0024055706526269205,1.500436198701217,0.00781549310447794,0.0024055706526269205,0.477294921875,4096,64096,10000,50000,0
6,100,3,0.4432379704113424,0.01,0.5004357276897462,149.97400816335545,0.0017520659066885618,0.00012788915046257898,1.4997400816335544,0.0017520659066885618,0.00012788915046257898,0.313232421875,4096,64096,10000,50000,0
7,100,3,0.40701374693419873,0.01,0.4995293077906,150.0270614859778,0.0028591316536920063,0.0003709800403157715,1.5002706148597782,0.0028591316536920063,0.0003709800403157715,0.52197265625,4096,64096,10000,50000,0
8,100,3,0.49248663379038043,0.01,0.4997310694196367,150.01436198586072,0.0021530941374116237,9.733638580655679e-05,1.5001436198586071,0.0021530941374116237,9.733638580655679e-05,0.255859375,4096,64096,10000,50000,0
9,100,3,0.40701374693419873,0.01,0.49995992940861994,150.00194774973954,0.00020867483141713325,1.915395841933787e-06,1.5000194774973954,0.00020867483141713325,1.915395841933787e-06,0.404541015625,4096,64096,10000,50000,0
10,100,3,0.4432379704113424,0.01,0.4992934115110558,150.00513009442489,0.008093247727559118,0.0011712901832652278,1.5000513009442489,0.008093247727559118,0.0011712901832652278,0.182373046875,4096,64096,10000,50000,0
11,100,3,0.40701374693419873,0.01,0.4994874589904222,150.01794425652014,0.0028897917024038058,0.00034223150578327477,1.5001794425652013,0.0028897917024038058,0.00034223150578327477,0.455322265625,4096,64096,10000,50000,0
12,100,3,0.40701374693419873,0.01,0.4994474198153016,150.01808854651546,0.0024548996692277795,0.0002518713408790063,1.5001808854651546,0.0024548996692277795,0.0002518713408790063,0.45458984375,4096,64096,10000,50000,0
